Firmware_Version=1.8;Sensor_Type=TYPE_AANDERAA_4330;Slot=8 SensorId=1;
DATE;TIME;OXYGEN;SATURATION;TEMPERATURE;CALPHASE;TCPHASE;C1RPH;C2RPH;C1AMP;C2AMP;RAWTEMP;
 ; ;µM;%;°C;deg;deg;deg;deg;mV;mV;mV;
12/07/2017;16:45:00;235.060;97.967;29.026;28.205;28.205;38.158;9.953;783.600;651.800;-233.100;
12/07/2017;17:00:00;232.416;97.891;29.631;28.108;28.108;38.069;9.962;780.400;647.200;-251.400;
12/07/2017;17:14:59;234.691;98.069;29.176;28.167;28.167;38.127;9.960;781.800;652.500;-237.600;
12/07/2017;17:29:59;237.611;98.091;28.483;28.286;28.286;38.247;9.961;787.800;658.500;-216.500;
12/07/2017;17:44:59;239.784;98.052;27.945;28.386;28.386;38.343;9.957;792.800;663.500;-200.000;
12/07/2017;17:59:59;241.826;98.010;27.444;28.480;28.480;38.431;9.952;797.600;666.600;-184.600;
12/07/2017;18:14:59;242.378;97.968;27.293;28.512;28.512;38.462;9.950;799.300;670.800;-179.900;
12/07/2017;18:30:00;242.950;97.954;27.153;28.538;28.538;38.484;9.946;800.700;669.500;-175.500;
12/07/2017;18:45:00;244.102;97.967;26.897;28.583;28.583;38.522;9.939;803.000;671.700;-167.600;
12/07/2017;19:00:00;244.887;97.922;26.693;28.625;28.625;38.560;9.935;805.000;673.500;-161.300;
12/07/2017;19:14:59;245.872;97.908;26.463;28.668;28.668;38.605;9.937;807.300;677.200;-154.100;
12/07/2017;19:29:59;246.379;97.914;26.353;28.688;28.688;38.621;9.933;808.200;677.900;-150.700;
12/07/2017;19:45:00;247.326;97.888;26.127;28.732;28.732;38.659;9.927;810.500;678.700;-143.600;
12/07/2017;20:00:00;247.626;97.854;26.041;28.752;28.752;38.673;9.922;811.300;679.400;-140.900;
12/07/2017;20:15:00;248.523;97.851;25.841;28.789;28.789;38.708;9.919;813.300;681.300;-134.600;
12/07/2017;20:30:00;249.971;97.848;25.522;28.848;28.848;38.765;9.917;816.200;684.100;-124.600;
12/07/2017;20:45:00;250.968;97.814;25.286;28.895;28.895;38.811;9.916;818.600;686.400;-117.200;
12/07/2017;21:00:00;251.178;97.793;25.229;28.908;28.908;38.818;9.910;819.400;687.100;-115.400;
12/07/2017;21:15:00;251.212;97.759;25.202;28.917;28.917;38.823;9.906;819.800;687.400;-114.500;
12/07/2017;21:30:00;251.307;97.775;25.191;28.917;28.917;38.819;9.901;819.900;687.300;-114.200;
12/07/2017;21:45:00;252.245;97.762;24.982;28.958;28.958;38.859;9.901;821.900;689.300;-107.600;
12/07/2017;21:59:59;252.978;97.763;24.826;28.987;28.987;38.889;9.902;823.400;692.100;-102.600;
12/07/2017;22:15:00;254.278;97.780;24.559;29.035;29.035;38.933;9.898;825.800;693.000;-94.200;
12/07/2017;22:30:00;255.164;97.724;24.341;29.082;29.082;38.976;9.894;828.000;695.200;-87.300;
12/07/2017;22:45:00;255.298;97.714;24.308;29.090;29.090;38.980;9.890;828.400;695.600;-86.200;
12/07/2017;22:59:59;255.989;97.744;24.179;29.110;29.110;38.998;9.887;829.500;696.700;-82.200;
12/07/2017;23:14:59;257.031;97.736;23.958;29.153;29.153;39.044;9.890;831.700;700.200;-75.100;
12/07/2017;23:30:00;257.159;97.704;23.914;29.165;29.165;39.050;9.884;832.300;699.100;-73.700;
12/07/2017;23:45:00;257.759;97.691;23.783;29.192;29.192;39.075;9.883;833.700;700.400;-69.500;
13/07/2017;00:00:00;257.940;97.633;23.714;29.211;29.211;39.089;9.878;834.500;702.100;-67.300;
13/07/2017;00:15:00;257.264;97.632;23.853;29.185;29.185;39.063;9.878;833.400;699.900;-71.800;
13/07/2017;00:30:00;257.345;97.625;23.833;29.190;29.190;39.064;9.875;833.500;700.000;-71.100;
13/07/2017;00:45:00;256.729;97.582;23.937;29.175;29.175;39.048;9.873;832.800;699.100;-74.400;
13/07/2017;00:59:59;256.384;97.612;24.025;29.155;29.155;39.030;9.875;832.000;698.300;-77.200;
13/07/2017;01:15:00;256.482;97.597;23.996;29.162;29.162;39.033;9.871;832.300;698.400;-76.300;
13/07/2017;01:30:00;256.591;97.577;23.963;29.171;29.171;39.040;9.869;832.700;698.700;-75.300;
13/07/2017;01:45:00;256.497;97.554;23.970;29.172;29.172;39.041;9.869;832.700;698.700;-75.500;
13/07/2017;02:00:00;256.308;97.537;23.999;29.168;29.168;39.035;9.867;832.500;698.300;-76.400;
13/07/2017;02:15:00;256.073;97.496;24.026;29.168;29.168;39.033;9.865;832.400;698.100;-77.300;
13/07/2017;02:30:00;256.759;97.491;23.881;29.196;29.196;39.059;9.863;833.800;699.300;-72.600;
13/07/2017;02:45:00;257.273;97.465;23.760;29.222;29.222;39.084;9.862;835.100;700.500;-68.800;
13/07/2017;03:00:00;257.630;97.466;23.687;29.236;29.236;39.098;9.862;835.900;701.300;-66.500;
13/07/2017;03:15:00;257.531;97.447;23.697;29.236;29.236;39.097;9.861;835.800;701.200;-66.800;
13/07/2017;03:29:59;257.118;97.398;23.755;29.231;29.231;39.090;9.859;835.400;700.600;-68.600;
13/07/2017;03:45:00;257.014;97.414;23.786;29.223;29.223;39.082;9.859;835.100;700.300;-69.600;
13/07/2017;04:00:00;257.370;97.389;23.698;29.242;29.242;39.099;9.856;836.100;702.100;-66.800;
13/07/2017;04:15:00;257.596;97.374;23.643;29.255;29.255;39.111;9.856;836.600;701.600;-65.100;
13/07/2017;04:29:59;257.121;97.354;23.731;29.240;29.240;39.095;9.855;835.900;700.800;-67.900;
13/07/2017;04:45:00;256.712;97.353;23.815;29.224;29.224;39.079;9.855;835.000;700.000;-70.500;
13/07/2017;05:00:00;256.270;97.326;23.892;29.213;29.213;39.068;9.855;834.300;699.200;-73.000;
13/07/2017;05:14:59;256.254;97.347;23.907;29.208;29.208;39.067;9.859;834.200;700.500;-73.500;
13/07/2017;05:29:59;256.580;97.328;23.829;29.225;29.225;39.082;9.857;835.000;701.300;-71.000;
13/07/2017;05:45:00;256.111;97.303;23.912;29.212;29.212;39.064;9.853;834.200;699.000;-73.700;
13/07/2017;06:00:00;255.748;97.278;23.974;29.203;29.203;39.055;9.852;833.600;698.400;-75.600;
13/07/2017;06:15:00;255.720;97.317;24.001;29.193;29.193;39.045;9.852;833.300;698.100;-76.500;
13/07/2017;06:29:59;255.889;97.300;23.957;29.204;29.204;39.055;9.851;833.600;698.400;-75.100;
13/07/2017;06:45:00;255.700;97.301;23.997;29.196;29.196;39.049;9.853;833.200;697.900;-76.300;
13/07/2017;07:00:00;255.756;97.279;23.973;29.203;29.203;39.052;9.849;833.300;699.100;-75.600;
13/07/2017;07:15:00;256.321;97.311;23.873;29.218;29.218;39.067;9.849;834.100;699.000;-72.400;
13/07/2017;07:30:00;257.077;97.348;23.737;29.240;29.240;39.088;9.848;835.300;700.200;-68.000;
13/07/2017;07:45:00;257.891;97.278;23.531;29.287;29.287;39.133;9.846;837.200;702.000;-61.500;
13/07/2017;08:00:00;257.874;97.294;23.543;29.283;29.283;39.129;9.846;837.100;702.000;-61.900;
13/07/2017;08:15:00;256.894;97.291;23.743;29.245;29.245;39.090;9.845;835.200;700.200;-68.300;
13/07/2017;08:30:00;255.808;97.290;23.968;29.203;29.203;39.050;9.847;832.900;698.000;-75.400;
13/07/2017;08:45:00;257.574;97.307;23.612;29.268;29.268;39.113;9.844;836.000;701.200;-64.100;
13/07/2017;08:59:59;255.999;97.282;23.924;29.212;29.212;39.057;9.845;833.200;698.500;-74.000;
13/07/2017;09:45:00;255.382;97.331;24.080;29.177;29.177;39.022;9.845;831.200;696.600;-79.000;
13/07/2017;10:00:00;254.487;97.324;24.264;29.143;29.143;38.991;9.849;829.300;693.900;-84.800;
13/07/2017;10:15:00;249.851;97.203;25.188;28.984;28.984;38.862;9.879;821.200;686.400;-114.100;
13/07/2017;10:29:59;243.154;97.145;26.645;28.722;28.722;38.647;9.925;807.300;675.700;-159.800;
13/07/2017;10:45:00;242.471;96.950;26.690;28.736;28.736;38.654;9.918;808.300;674.400;-161.200;
13/07/2017;11:00:00;241.168;97.125;27.089;28.644;28.644;38.574;9.930;803.300;670.100;-173.600;
13/07/2017;11:14:59;231.234;97.017;29.408;28.244;28.244;38.240;9.996;782.700;651.400;-244.700;
13/07/2017;11:30:00;223.538;96.982;31.357;27.914;27.914;37.948;10.034;765.500;633.400;-303.100;
13/07/2017;11:45:00;219.009;97.055;32.616;27.696;27.696;37.753;10.057;754.300;622.100;-340.200;
13/07/2017;12:00:00;217.844;97.170;33.007;27.619;27.619;37.671;10.052;750.500;617.900;-351.600;
13/07/2017;12:14:59;217.134;97.356;33.319;27.548;27.548;37.604;10.056;747.100;616.200;-360.600;
13/07/2017;12:30:00;215.568;97.449;33.814;27.457;27.457;37.522;10.065;742.800;612.600;-374.900;
13/07/2017;12:45:00;213.928;97.731;34.454;27.324;27.324;37.403;10.078;736.200;606.700;-393.200;
16/07/2017;15:45:00;246.516;96.552;25.554;28.991;28.991;38.974;9.983;780.900;671.000;-125.600;
16/07/2017;15:59:59;247.649;96.597;25.329;29.027;29.027;38.997;9.970;782.800;674.200;-118.500;
16/07/2017;16:15:00;247.545;96.556;25.329;29.032;29.032;38.987;9.955;783.900;673.000;-118.500;
16/07/2017;16:30:00;247.670;96.553;25.300;29.038;29.038;38.986;9.949;784.300;673.300;-117.600;
16/07/2017;16:45:00;247.008;96.496;25.413;29.023;29.023;38.967;9.944;783.300;672.500;-121.200;
16/07/2017;17:00:00;246.625;96.486;25.492;29.010;29.010;38.948;9.939;782.600;671.600;-123.700;
16/07/2017;17:15:00;246.091;96.413;25.569;29.004;29.004;38.941;9.937;781.800;670.900;-126.100;
16/07/2017;17:30:00;245.257;96.328;25.706;28.988;28.988;38.926;9.937;780.100;669.400;-130.400;
16/07/2017;17:44:59;244.761;96.316;25.810;28.971;28.971;38.912;9.942;778.200;669.400;-133.700;
16/07/2017;17:59:59;244.450;96.268;25.852;28.968;28.968;38.905;9.937;777.100;668.300;-135.000;
16/07/2017;18:14:59;245.653;96.429;25.676;28.982;28.982;38.915;9.932;777.200;669.700;-129.400;
16/07/2017;18:30:00;246.498;96.435;25.492;29.016;29.016;38.936;9.920;778.200;669.800;-123.700;
16/07/2017;18:45:00;247.270;96.462;25.337;29.041;29.041;38.957;9.916;778.900;671.000;-118.800;
16/07/2017;19:00:00;247.580;96.431;25.251;29.061;29.061;38.973;9.912;779.200;671.700;-116.100;
16/07/2017;19:15:01;248.087;96.452;25.152;29.077;29.077;38.988;9.911;779.700;672.600;-112.900;
16/07/2017;19:30:00;248.669;96.428;25.011;29.106;29.106;39.013;9.907;780.400;673.800;-108.500;
16/07/2017;19:45:00;249.144;96.466;24.929;29.117;29.117;39.022;9.905;780.600;674.500;-105.900;
16/07/2017;20:00:00;249.381;96.443;24.865;29.132;29.132;39.033;9.901;780.900;675.000;-103.900;
16/07/2017;20:15:00;249.704;96.460;24.804;29.141;29.141;39.040;9.899;781.000;675.500;-102.000;
16/07/2017;20:30:00;250.148;96.468;24.713;29.157;29.157;39.054;9.896;781.300;677.200;-99.100;
16/07/2017;20:45:00;250.480;96.480;24.649;29.168;29.168;39.063;9.895;781.500;676.700;-97.000;
16/07/2017;20:59:59;250.946;96.528;24.575;29.176;29.176;39.073;9.897;781.600;678.700;-94.700;
16/07/2017;21:15:00;251.428;96.601;24.512;29.180;29.180;39.072;9.892;781.700;677.800;-92.700;
16/07/2017;21:30:00;251.803;96.620;24.443;29.191;29.191;39.080;9.889;781.800;678.400;-90.500;
16/07/2017;21:44:59;252.316;96.694;24.375;29.195;29.195;39.083;9.888;782.200;679.000;-88.400;
16/07/2017;22:00:00;252.713;96.728;24.309;29.203;29.203;39.091;9.888;782.400;679.600;-86.300;
16/07/2017;22:15:00;253.019;96.746;24.255;29.212;29.212;39.096;9.884;782.600;680.100;-84.500;
16/07/2017;22:29:59;253.283;96.764;24.209;29.218;29.218;39.101;9.882;782.800;680.500;-83.100;
16/07/2017;22:45:00;253.618;96.782;24.148;29.227;29.227;39.109;9.881;783.200;681.100;-81.200;
16/07/2017;23:00:00;253.708;96.771;24.123;29.234;29.234;39.112;9.878;783.200;681.300;-80.300;
16/07/2017;23:15:00;253.910;96.798;24.095;29.236;29.236;39.113;9.878;783.300;681.600;-79.500;
16/07/2017;23:29:59;254.029;96.805;24.074;29.239;29.239;39.115;9.876;783.400;681.800;-78.800;
16/07/2017;23:45:00;254.476;96.841;24.000;29.249;29.249;39.124;9.875;783.900;682.400;-76.400;
17/07/2017;00:00:00;254.780;96.852;23.943;29.258;29.258;39.132;9.874;784.300;682.900;-74.600;
17/07/2017;00:15:01;255.132;96.869;23.878;29.269;29.269;39.141;9.872;784.700;683.500;-72.600;
17/07/2017;00:30:00;255.291;96.874;23.848;29.274;29.274;39.145;9.871;785.000;683.900;-71.600;
17/07/2017;00:45:00;255.374;96.835;23.809;29.286;29.286;39.156;9.870;785.200;684.200;-70.400;
17/07/2017;01:00:00;255.655;96.864;23.766;29.290;29.290;39.160;9.870;785.600;684.600;-69.000;
17/07/2017;01:15:00;255.681;96.855;23.756;29.293;29.293;39.162;9.869;785.700;684.700;-68.700;
17/07/2017;01:30:00;255.794;96.872;23.742;29.294;29.294;39.158;9.864;785.800;683.800;-68.200;
17/07/2017;01:45:00;255.816;96.839;23.719;29.302;29.302;39.168;9.866;786.100;685.100;-67.500;
17/07/2017;02:00:00;255.748;96.804;23.714;29.307;29.307;39.171;9.864;786.200;685.100;-67.300;
17/07/2017;02:15:00;255.763;96.783;23.700;29.313;29.313;39.174;9.862;786.400;685.400;-66.900;
17/07/2017;02:29:59;255.814;96.794;23.695;29.312;29.312;39.176;9.864;786.600;685.400;-66.700;
17/07/2017;02:44:59;255.735;96.754;23.689;29.318;29.318;39.178;9.860;786.700;685.400;-66.500;
17/07/2017;02:59:59;255.671;96.747;23.699;29.317;29.317;39.181;9.864;786.900;686.900;-66.900;
17/07/2017;03:15:00;255.618;96.702;23.685;29.325;29.325;39.184;9.859;787.000;685.500;-66.400;
17/07/2017;03:30:00;255.682;96.694;23.668;29.329;29.329;39.188;9.859;787.300;685.700;-65.900;
17/07/2017;03:45:00;255.827;96.707;23.645;29.332;29.332;39.191;9.859;787.500;685.900;-65.100;
17/07/2017;03:59:59;255.871;96.659;23.610;29.344;29.344;39.206;9.861;787.900;687.700;-64.000;
17/07/2017;04:15:00;255.921;96.659;23.599;29.346;29.346;39.204;9.858;788.000;686.400;-63.600;
17/07/2017;04:30:00;255.945;96.654;23.591;29.348;29.348;39.205;9.856;788.200;686.400;-63.400;
17/07/2017;04:45:00;255.666;96.587;23.612;29.352;29.352;39.206;9.854;788.200;687.200;-64.100;
17/07/2017;05:00:01;255.509;96.563;23.632;29.351;29.351;39.210;9.858;788.100;687.600;-64.700;
17/07/2017;05:14:59;255.511;96.594;23.648;29.344;29.344;39.201;9.857;787.900;687.400;-65.200;
17/07/2017;05:30:00;255.366;96.578;23.669;29.342;29.342;39.196;9.853;787.700;686.700;-65.900;
17/07/2017;05:45:00;255.428;96.595;23.666;29.341;29.341;39.194;9.853;787.700;685.700;-65.800;
17/07/2017;06:00:00;255.535;96.586;23.639;29.347;29.347;39.200;9.853;787.800;685.900;-64.900;
17/07/2017;06:15:00;255.324;96.561;23.669;29.344;29.344;39.196;9.852;787.600;685.700;-65.900;
17/07/2017;06:30:00;255.218;96.596;23.710;29.332;29.332;39.184;9.852;787.200;685.300;-67.200;
17/07/2017;06:45:00;254.826;96.554;23.769;29.326;29.326;39.177;9.851;786.800;685.700;-69.100;
17/07/2017;07:00:00;254.639;96.552;23.807;29.319;29.319;39.170;9.851;786.400;684.400;-70.300;
17/07/2017;07:15:01;254.850;96.495;23.731;29.340;29.340;39.190;9.850;787.200;685.200;-67.900;
17/07/2017;07:29:59;254.954;96.530;23.729;29.336;29.336;39.186;9.850;787.000;685.100;-67.800;
17/07/2017;07:44:59;254.286;96.539;23.874;29.308;29.308;39.161;9.853;785.700;685.200;-72.400;
17/07/2017;07:59:59;253.338;96.558;24.083;29.266;29.266;39.121;9.855;783.500;681.700;-79.100;
17/07/2017;08:15:00;251.203;96.554;24.534;29.181;29.181;39.047;9.866;779.000;678.300;-93.400;
17/07/2017;08:45:00;248.492;96.814;25.266;29.014;29.014;38.903;9.890;781.600;671.000;-116.600;
17/07/2017;09:00:00;246.454;96.782;25.697;28.938;28.938;38.838;9.901;777.700;667.000;-130.100;
17/07/2017;09:15:00;241.353;96.821;26.872;28.718;28.718;38.659;9.941;766.600;656.500;-166.800;
17/07/2017;09:30:00;238.195;97.033;27.731;28.539;28.539;38.503;9.964;760.000;649.000;-193.400;
17/07/2017;10:00:00;237.147;97.326;28.150;28.431;28.431;38.405;9.974;757.700;644.800;-206.300;
17/07/2017;10:15:00;237.983;97.363;27.972;28.458;28.458;38.417;9.959;759.700;647.600;-200.800;
17/07/2017;10:30:00;238.933;97.374;27.755;28.496;28.496;38.454;9.958;761.100;649.600;-194.100;
17/07/2017;10:45:00;239.513;97.422;27.646;28.510;28.510;38.463;9.953;762.100;650.600;-190.800;
17/07/2017;10:59:59;239.559;97.439;27.645;28.508;28.508;38.457;9.949;762.200;650.600;-190.800;
17/07/2017;11:15:00;238.151;97.297;27.894;28.480;28.480;38.433;9.953;760.800;648.700;-198.400;
17/07/2017;11:30:00;239.198;97.477;27.751;28.485;28.485;38.437;9.952;761.300;650.000;-194.000;
17/07/2017;11:45:00;240.225;97.374;27.452;28.550;28.550;38.494;9.944;764.600;652.500;-184.800;
17/07/2017;12:00:00;240.787;97.431;27.353;28.561;28.561;38.501;9.939;765.500;653.400;-181.700;
17/07/2017;12:15:00;241.635;97.367;27.120;28.610;28.610;38.545;9.934;767.800;655.500;-174.500;
17/07/2017;12:30:00;241.440;97.326;27.142;28.611;28.611;38.551;9.940;767.800;656.800;-175.200;
17/07/2017;12:45:00;240.418;97.465;27.459;28.538;28.538;38.475;9.936;764.500;652.600;-185.000;
17/07/2017;13:00:00;240.075;97.513;27.567;28.514;28.514;38.446;9.932;763.600;650.800;-188.300;
17/07/2017;13:15:00;240.194;97.497;27.530;28.522;28.522;38.451;9.929;764.000;652.100;-187.200;
17/07/2017;13:30:00;239.803;97.520;27.634;28.501;28.501;38.429;9.929;763.200;651.200;-190.400;
17/07/2017;13:45:00;239.409;97.544;27.741;28.479;28.479;38.410;9.931;762.500;650.400;-193.700;
17/07/2017;14:00:00;239.947;97.370;27.514;28.539;28.539;38.478;9.939;757.300;652.500;-186.700;
17/07/2017;14:15:00;235.963;97.599;28.592;28.322;28.322;38.323;10.001;753.000;643.600;-219.800;
17/07/2017;14:30:00;234.548;97.702;28.996;28.239;28.239;38.262;10.022;748.500;640.300;-232.100;
17/07/2017;14:45:00;270.381;102.443;23.766;28.664;28.664;38.645;9.981;607.700;566.300;-69.000;
17/07/2017;15:00:00;277.076;90.142;16.135;31.671;31.671;41.609;9.938;610.900;579.700;179.600;
17/07/2017;15:15:00;253.414;76.364;12.630;34.459;34.459;44.310;9.851;676.000;595.000;295.400;
17/07/2017;15:29:59;226.641;64.044;9.844;37.286;37.286;47.092;9.806;749.300;617.200;386.900;
17/07/2017;15:45:00;249.427;66.640;7.523;37.334;37.334;47.092;9.758;740.800;629.400;462.400;
17/07/2017;16:00:00;276.979;70.730;5.718;37.010;37.010;46.728;9.718;745.800;653.900;520.300;
17/07/2017;16:15:00;292.248;72.677;4.688;36.907;36.907;46.598;9.691;738.200;661.800;553.100;
17/07/2017;16:30:00;292.811;72.676;4.613;36.924;36.924;46.595;9.671;746.600;664.800;555.500;
17/07/2017;16:45:00;293.407;72.767;4.583;36.916;36.916;46.575;9.659;746.600;665.200;556.400;
17/07/2017;17:00:00;294.440;72.991;4.566;36.881;36.881;46.531;9.650;746.000;665.500;557.000;
17/07/2017;17:15:00;294.723;73.126;4.600;36.850;36.850;46.492;9.643;745.200;665.200;555.900;
17/07/2017;17:30:00;294.307;73.071;4.626;36.854;36.854;46.492;9.639;745.400;665.100;555.100;
17/07/2017;17:45:00;294.195;73.059;4.634;36.854;36.854;46.485;9.631;745.400;665.000;554.800;
17/07/2017;18:00:00;293.875;73.000;4.644;36.862;36.862;46.488;9.626;745.700;664.900;554.500;
17/07/2017;18:15:00;294.588;73.132;4.621;36.844;36.844;46.468;9.624;745.500;665.200;555.200;
17/07/2017;18:29:59;294.474;73.115;4.627;36.846;36.846;46.467;9.621;745.600;665.200;555.000;
17/07/2017;18:45:00;294.495;73.120;4.627;36.845;36.845;46.462;9.617;745.600;665.200;555.000;
17/07/2017;19:00:00;294.400;73.079;4.618;36.854;36.854;46.467;9.612;746.200;665.200;555.300;
17/07/2017;19:15:00;294.028;72.975;4.612;36.873;36.873;46.484;9.611;746.800;665.200;555.500;
17/07/2017;19:30:00;293.730;72.907;4.615;36.884;36.884;46.490;9.606;746.500;664.600;555.400;
17/07/2017;19:45:00;293.604;72.904;4.630;36.881;36.881;46.485;9.604;746.700;665.100;555.000;
17/07/2017;20:00:00;294.555;73.100;4.609;36.852;36.852;46.455;9.602;746.600;665.500;555.600;
17/07/2017;20:15:00;294.841;73.161;4.603;36.843;36.843;46.443;9.600;746.400;665.500;555.800;
17/07/2017;20:30:00;294.489;73.064;4.598;36.861;36.861;46.460;9.599;747.000;665.500;556.000;
17/07/2017;20:44:59;293.730;72.931;4.627;36.877;36.877;46.477;9.600;747.100;666.800;555.000;
17/07/2017;21:00:00;295.179;73.244;4.603;36.829;36.829;46.424;9.595;746.200;665.500;555.800;
17/07/2017;21:15:00;295.844;73.407;4.602;36.801;36.801;46.395;9.593;745.600;665.500;555.800;
